,precision,recall,f1-score,support
ACTION,0.03614457831325301,0.016304347826086956,0.02247191011235955,184
HISTORY,0.0658682634730539,0.04206500956022945,0.051341890315052506,523
LOCATION,0.020833333333333332,0.03225806451612903,0.02531645569620253,31
ORGANIZATION,0.125,0.05263157894736842,0.07407407407407407,19
OTHER,0.0,0.0,0.0,32
PERSON,0.20588235294117646,0.010057471264367816,0.019178082191780823,696
SYMPTOM,0.0783132530120482,0.03359173126614987,0.04701627486437614,387
micro avg,0.05875,0.025106837606837608,0.03517964071856288,1872
macro avg,0.07600596872469499,0.026701171911475936,0.03419981246483509,1872
weighted avg,0.1163044252682161,0.025106837606837608,0.034573772012515665,1872
