,precision,recall,f1-score,support
ACTION,0.607692308,0.568345324,0.587360595,139
HISTORY,0.633074935,0.569767442,0.599755202,430
LOCATION,0.204081633,0.322580645,0.25,31
ORGANIZATION,0.647058824,0.55,0.594594595,20
OTHER,0.457142857,0.551724138,0.5,29
PERSON,0.907111756,0.542534722,0.678978816,1152
SYMPTOM,0.376532399,0.587431694,0.458911419,366
micro avg,0.639510117,0.554222427,0.59381953,2167
macro avg,0.547527816,0.527483424,0.524228661,2167
weighted avg,0.725436043,0.554222427,0.610902135,2167
